snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
92.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
93.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
94.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
95.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
96.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
97.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
98.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
99.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
100.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
101.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
102.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
103.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
104.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
105.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
106.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
107.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
108.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
109.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
