scenario_name,t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_r_t,min_local_kappa,median_local_kappa,number_binding_nodes,number_violating_nodes_if_any,total_GFL_exposure,total_GFM_strength
BASE-INTEGER,157.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,158.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,159.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,160.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,161.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,162.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,163.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,164.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,165.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,166.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,167.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,168.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,169.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,170.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,171.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,172.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,173.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,174.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,175.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,176.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,177.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,178.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,179.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,180.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,181.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,182.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,183.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,184.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,185.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,186.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,187.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,188.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,189.0,-172400.6820624249,0.0034229558883625763,-0.9977180294077583,-172932.0,-3561.5,36.0,36.0,357390.0,11078.0
