snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
32.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34943.54749374086,63247.44245483513,-6.063298011819521e-13,9.088285679581531e-13
33.0,-2.3323396526497113e-13,-2.3323396526497113e-13,1.4999999999999996,-2.9605947323337506e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35043.54749374086,63247.44245483513,-6.063298011819521e-13,9.090506125630782e-13
34.0,-3.1281758356843553e-13,-3.1281758356843553e-13,1.4999999999999996,-2.9605947323337506e-16,-2.2737367544323206e-13,0.0,20.0,21.0,0.0,35524.085257797284,63247.44245483513,-1.5158245029548803e-13,2.26929586233382e-13
35.0,-5.383260381497642e-13,-5.383260381497642e-13,1.4999999999999998,-1.4802973661668753e-16,-2.2737367544323206e-13,0.0,20.0,22.0,0.0,36660.10586582041,63247.44245483513,-1.5158245029548803e-13,2.2715163083830703e-13
36.0,-1.8779296056895776e-13,-1.8779296056895776e-13,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.192091880366,63249.10270595975,-6.063298011819521e-13,9.086065233532281e-13
37.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.5000000000000004,2.9605947323337506e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.65432782394,63249.10270595975,-6.063298011819521e-13,9.099387909827783e-13
38.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.65432782394,63249.10270595975,-6.063298011819521e-13,9.088285679581531e-13
39.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.65432782394,63249.10270595975,-6.063298011819521e-13,9.088285679581531e-13
40.0,-1.1008125076183381e-13,-1.1008125076183381e-13,1.499999999999999,-7.401486830834377e-16,-9.094947017729282e-13,0.0,31.0,19.0,0.0,33979.07743527146,63249.10270595975,-6.063298011819521e-13,9.083844787483031e-13
41.0,-2.560493447378861e-13,-2.560493447378861e-13,1.5000000000000002,1.4802973661668753e-16,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,33830.515765124306,63249.10270595975,-6.063298011819521e-13,9.097167463778533e-13
42.0,-1.8779296056895776e-13,-1.8779296056895776e-13,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.192091880366,63249.10270595975,-6.063298011819521e-13,9.086065233532281e-13
