snapshot,online_gfm_strength,online_gfl_exposure
71.0,15377.069418349165,595.8544451512998
72.0,15377.069418349165,593.3728529015311
73.0,15377.069418349165,578.6513275490898
74.0,15377.069418349165,576.2064333060464
75.0,15377.069418349165,594.8811254284636
76.0,15377.069418349165,621.4499108412022
77.0,15377.069418349165,597.9628654001394
78.0,15377.069418349165,620.449910841202
79.0,15377.069418349165,649.0714132700981
80.0,15377.068706288777,715.9846332475598
81.0,15377.068706288777,689.4975878064971
82.0,15377.068706288777,721.9317878638482
83.0,15377.068706288777,654.0714132700982
84.0,15377.068706288777,630.3681945974531
85.0,15377.068706288777,608.1726118478248
86.0,15377.068706288777,696.4367048596437
87.0,15377.068706288777,679.4975878064971
88.0,15377.068706288777,680.3143865330766
89.0,15377.068706288777,627.5843678290354
90.0,15377.068706288777,751.6522000243109
91.0,15377.068706288777,714.2179999669598
92.0,15377.068706288777,713.7246332475598
93.0,15377.068706288777,658.1868020536476
94.0,15377.068706288777,640.1208841582147
95.0,15377.068706288777,621.0072613597806
96.0,15377.068706288777,601.4108567336568
97.0,15377.068706288777,572.394079987401
98.0,15377.068706288777,555.7408526448885
99.0,15377.068706288777,523.5625999816149
100.0,15377.068706288777,572.394079987401
101.0,15377.068706288777,578.6513275490898
102.0,15377.068706288777,620.4499108412022
103.0,15377.068706288785,701.9846332475611
104.0,15377.068706288785,701.9846332475611
105.0,15377.068706288785,712.9846332475612
106.0,15377.112450458237,716.9405366977402
107.0,15377.112450458237,711.9933820814518
108.0,15377.112450458237,631.4520150552727
109.0,15377.112450458237,724.7137942419146
110.0,15377.112450458237,702.7459626259118
111.0,15377.112450458237,638.7799432235294
112.0,15377.112450458237,618.8879594065965
113.0,15377.112450458237,623.5678887770526
114.0,15377.112450458237,733.6609488582029
115.0,15377.112450458237,702.6159935197232
116.0,15377.112450458237,699.1174937503429
117.0,15377.112450458237,610.1397200337385
118.0,15377.112450458237,624.0977501653483
119.0,15377.112450458237,646.584795606411
120.0,15377.112450458237,566.1757813539946
121.0,15377.112450458237,613.5049498130401
122.0,15377.112450458237,622.458659675094
123.0,15377.112450458237,546.0496454226776
124.0,15377.112450458237,620.4586596750942
125.0,15377.112450458237,568.225049787508
126.0,15377.112450458237,620.4586596750942
127.0,15377.112450458237,618.5026278573598
128.0,15377.112450458237,700.5994700814518
129.0,15377.112450458237,701.9933820814518
