H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
4.0,15.0,OCGT,1.352863245453675e7,11,1,true,77,77,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,EE6 0 OCGT,300.0,1.0,150.0,0.20000000000000004,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,11,1,true,78,78,0.015000000000000005,0,150,0.0,true,clip_na0_to_n0,EE6 0 offwind-ac,100.0,0.8782780498695415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,11,1,true,79,79,0.015000000000000003,0,22,0.0,false,clip_na0_to_n0,EE6 0 offwind-dc,100.0,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,11,1,true,80,80,0.015000000000000001,6,1874,1.0,false,clip_na0_to_n0,EE6 0 onwind,50.0,0.8780565007176115,0.0,0.0,0.0,277.4658542267653,0.0,0.0,0.0,0.0,277.4658542267653,-277.4658542267653,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,11,1,true,81,81,0.010000000000000002,2,1241,1.0,false,clip_na0_to_n0,EE6 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,12,1,true,82,82,42.246743185547565,75,75,1.0,false,clip_na0_to_n0,ES1 0 CCGT,300.0,1.0,150.0,0.45,0.0,22544.032,10144.8144,150.0,-150.0,0.0,22544.032,-22544.032,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,12,1,true,83,83,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,ES1 0 OCGT,300.0,1.0,150.0,0.20000000000000004,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
4.2,15.0,coal,1.0499296608895715e8,12,1,true,84,84,28.196531007679717,6,6,1.0,false,clip_na0_to_n0,ES1 0 coal,300.0,1.0,120.0,0.32500000000000007,0.0,1938.3151196275771,629.9524138789627,150.0,-150.0,0.0,1938.3151196275771,-1938.3151196275771,0.0,30.0,gfm
5.9,65.0,nuclear,9.188044017996469e8,12,1,true,85,85,11.378787878787877,5,5,1.0,false,clip_na0_to_n0,ES1 0 nuclear,1300.0,0.897,520.0,0.5,0.0,6384.1284,3558.6,650.0,-650.0,0.0,6384.1284,-6384.1284,0.0,260.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,12,1,true,86,86,0.015000000000000005,1,93,1.0,false,clip_na0_to_n0,ES1 0 offwind-ac,100.0,0.47919538680425466,0.0,0.0,0.0,1.5270545317399415,0.0,0.0,0.0,0.0,1.5270545317399415,-1.5270545317399415,0.0,0.0,gfl
